strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",15196,0.4269,573649.0,487.58,-297.31,1.222,3.0159,-0.0081,49479.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",19812,0.4146,676502.0,536.34,-321.52,1.181,2.8602,-0.0081,59180.5
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9928,0.4184,425104.0,571.04,-337.2,1.218,2.5468,-0.0081,40148.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",17178,0.4251,549095.0,478.21,-298.06,1.187,2.3968,-0.0081,52071.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",17178,0.4482,110915.5,385.82,-301.67,1.039,0.6179,-0.0081,103153.0
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",12902,0.4069,518463.0,659.51,-384.73,1.176,2.3694,-0.0081,60575.5
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 5}",10922,0.4481,153859.5,477.62,-362.25,1.07,1.1574,-0.0082,73517.0
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 10}",9928,0.4003,451927.0,663.11,-366.69,1.207,2.4034,-0.0082,45018.5
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 10}",10922,0.4121,573030.0,683.03,-389.55,1.229,2.9711,-0.0082,51218.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",15196,0.4113,705737.0,584.11,-329.19,1.24,3.2087,-0.0082,82236.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 10}",13386,0.4216,639382.0,585.06,-343.93,1.24,3.1687,-0.0082,59458.5
