======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] Quick mode: 28,374 bars from 2024
[GC] 28,374 bars ready. L2 cols present: 17/17

  CVD_Slope_Regime                    GC  trades=4425  dsr=-0.009  pnl=$ 240,494
  CVD_Slope_Regime                    GC  trades=4425  dsr=-0.009  pnl=$ 221,446
  CVD_Slope_Regime                    GC  trades=2789  dsr=+0.439  pnl=$  52,780
  CVD_Slope_Regime                    GC  trades=2789  dsr=+0.771  pnl=$  39,066
  CVD_Slope_Regime                    GC  trades=2789  dsr=-0.010  pnl=$ 146,139
  CVD_Slope_Regime                    GC  trades=2789  dsr=-0.010  pnl=$ 136,631
  CVD_Slope_Regime                    GC  trades=1705  dsr=-0.011  pnl=$  56,001
  CVD_Slope_Regime                    GC  trades=1705  dsr=-0.011  pnl=$  53,964
  CVD_Slope_Regime                    GC  trades=1705  dsr=-0.011  pnl=$ 113,757
  CVD_Slope_Regime                    GC  trades=1705  dsr=-0.011  pnl=$ 116,366
  CVD_Acceleration                    GC  trades=3596  dsr=-0.010  pnl=$  59,342
  CVD_Acceleration                    GC  trades=3596  dsr=+0.936  pnl=$  67,776
  CVD_Acceleration                    GC  trades=3596  dsr=-0.010  pnl=$ 138,262
  CVD_Acceleration                    GC  trades=3596  dsr=-0.010  pnl=$ 155,950
  CVD_Acceleration                    GC  trades=2259  dsr=-0.011  pnl=$  49,802
  CVD_Acceleration                    GC  trades=2259  dsr=-0.011  pnl=$  61,900
  CVD_Acceleration                    GC  trades=2259  dsr=-0.011  pnl=$ 109,782
  CVD_Acceleration                    GC  trades=2259  dsr=-0.011  pnl=$ 131,599
  CVD_Acceleration                    GC  trades=1471  dsr=-0.011  pnl=$  44,102
  CVD_Acceleration                    GC  trades=1471  dsr=-0.011  pnl=$  56,118
  CVD_Acceleration                    GC  trades=1471  dsr=-0.011  pnl=$  79,546
  CVD_Acceleration                    GC  trades=1471  dsr=-0.011  pnl=$  98,849
  CVD_VWAP                            GC  trades=2655  dsr=-0.009  pnl=$ 105,120
  CVD_VWAP                            GC  trades=2655  dsr=-0.009  pnl=$ 110,948
  CVD_VWAP                            GC  trades=2655  dsr=-0.009  pnl=$ 213,449
  CVD_VWAP                            GC  trades=2655  dsr=-0.009  pnl=$ 219,290
  CVD_VWAP                            GC  trades=2439  dsr=+0.774  pnl=$  83,568
  CVD_VWAP                            GC  trades=2439  dsr=+0.595  pnl=$  90,458
  CVD_VWAP                            GC  trades=2439  dsr=-0.009  pnl=$ 176,995
  CVD_VWAP                            GC  trades=2439  dsr=-0.009  pnl=$ 188,537
  CVD_VWAP                            GC  trades=4050  dsr=-0.008  pnl=$  94,612
  CVD_VWAP                            GC  trades=4050  dsr=-0.008  pnl=$ 107,946
  CVD_VWAP                            GC  trades=4050  dsr=-0.008  pnl=$ 257,823
  CVD_VWAP                            GC  trades=4050  dsr=-0.008  pnl=$ 276,556
  CVD_VWAP                            GC  trades=3691  dsr=+0.773  pnl=$  79,292
  CVD_VWAP                            GC  trades=3691  dsr=+0.658  pnl=$  94,666
  CVD_VWAP                            GC  trades=3691  dsr=-0.008  pnl=$ 217,940
  CVD_VWAP                            GC  trades=3691  dsr=-0.008  pnl=$ 245,346
  Depth_Imbalance_Momentum            GC  trades=13107  dsr=-0.009  pnl=$ 516,162
  Depth_Imbalance_Momentum            GC  trades=13107  dsr=-0.009  pnl=$ 638,440
  Depth_Imbalance_Momentum            GC  trades=13107  dsr=-0.009  pnl=$ 967,315
  Depth_Imbalance_Momentum            GC  trades=13107  dsr=-0.009  pnl=$1,167,954
  Depth_Imbalance_Momentum            GC  trades=11964  dsr=-0.009  pnl=$ 473,487
  Depth_Imbalance_Momentum            GC  trades=11964  dsr=-0.009  pnl=$ 620,712
  Depth_Imbalance_Momentum            GC  trades=11964  dsr=-0.009  pnl=$ 890,886
  Depth_Imbalance_Momentum            GC  trades=11964  dsr=-0.009  pnl=$1,120,243
  Depth_Imbalance_Momentum            GC  trades=10490  dsr=-0.009  pnl=$ 421,059
  Depth_Imbalance_Momentum            GC  trades=10490  dsr=-0.009  pnl=$ 564,563
  Depth_Imbalance_Momentum            GC  trades=10490  dsr=-0.009  pnl=$ 795,520
  Depth_Imbalance_Momentum            GC  trades=10490  dsr=-0.009  pnl=$1,009,131
  Depth_Imbalance_Momentum            GC  trades=10795  dsr=-0.009  pnl=$ 436,635
  Depth_Imbalance_Momentum            GC  trades=10795  dsr=-0.009  pnl=$ 544,529
  Depth_Imbalance_Momentum            GC  trades=10795  dsr=-0.009  pnl=$ 804,912
  Depth_Imbalance_Momentum            GC  trades=10795  dsr=-0.009  pnl=$ 977,218
  Depth_Imbalance_Momentum            GC  trades=9827  dsr=-0.009  pnl=$ 399,984
  Depth_Imbalance_Momentum            GC  trades=9827  dsr=-0.009  pnl=$ 521,512
  Depth_Imbalance_Momentum            GC  trades=9827  dsr=-0.009  pnl=$ 736,648
  Depth_Imbalance_Momentum            GC  trades=9827  dsr=-0.009  pnl=$ 923,612
  Depth_Imbalance_Momentum            GC  trades=8525  dsr=-0.009  pnl=$ 342,153
  Depth_Imbalance_Momentum            GC  trades=8525  dsr=-0.010  pnl=$ 452,432
  Depth_Imbalance_Momentum            GC  trades=8525  dsr=-0.009  pnl=$ 642,826
  Depth_Imbalance_Momentum            GC  trades=8525  dsr=-0.010  pnl=$ 811,384
  Depth_Imbalance_Momentum            GC  trades=9029  dsr=-0.009  pnl=$ 437,522
  Depth_Imbalance_Momentum            GC  trades=9029  dsr=-0.009  pnl=$ 530,120
  Depth_Imbalance_Momentum            GC  trades=9029  dsr=-0.009  pnl=$ 778,399
  Depth_Imbalance_Momentum            GC  trades=9029  dsr=-0.009  pnl=$ 933,269
  Depth_Imbalance_Momentum            GC  trades=8186  dsr=-0.010  pnl=$ 408,903
  Depth_Imbalance_Momentum            GC  trades=8186  dsr=-0.010  pnl=$ 521,643
  Depth_Imbalance_Momentum            GC  trades=8186  dsr=-0.010  pnl=$ 714,937
  Depth_Imbalance_Momentum            GC  trades=8186  dsr=-0.010  pnl=$ 884,044
  Depth_Imbalance_Momentum            GC  trades=7070  dsr=-0.010  pnl=$ 342,691
  Depth_Imbalance_Momentum            GC  trades=7070  dsr=-0.010  pnl=$ 440,858
  Depth_Imbalance_Momentum            GC  trades=7070  dsr=-0.010  pnl=$ 608,872
  Depth_Imbalance_Momentum            GC  trades=7070  dsr=-0.010  pnl=$ 764,919
  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=+2.303  pnl=$ -51,985
