======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['SI']  Strategies: 16
======================================================================
[SI] Primary bars: 37,920 rows
[SI] Quick mode: 15,172 bars from 2024
[SI] 15,172 bars ready. L2 cols present: 17/17

  Repeated_Replenishment              SI  trades=1767  dsr=-0.011  pnl=$ 124,508
  Repeated_Replenishment              SI  trades=1767  dsr=-0.011  pnl=$ 135,227
  Repeated_Replenishment              SI  trades=1767  dsr=-0.011  pnl=$ 286,351
  Repeated_Replenishment              SI  trades=1767  dsr=-0.012  pnl=$ 292,981
  Repeated_Replenishment              SI  trades=1455  dsr=-0.012  pnl=$  87,692
  Repeated_Replenishment              SI  trades=1455  dsr=-0.012  pnl=$  98,970
  Repeated_Replenishment              SI  trades=1455  dsr=-0.012  pnl=$ 244,285
  Repeated_Replenishment              SI  trades=1455  dsr=-0.012  pnl=$ 244,520
  Repeated_Replenishment              SI  trades=1304  dsr=-0.012  pnl=$  80,931
  Repeated_Replenishment              SI  trades=1304  dsr=-0.012  pnl=$  87,507
  Repeated_Replenishment              SI  trades=1304  dsr=-0.012  pnl=$ 215,974
  Repeated_Replenishment              SI  trades=1304  dsr=-0.012  pnl=$ 218,192
  Repeated_Replenishment              SI  trades=1077  dsr=-0.013  pnl=$  54,734
  Repeated_Replenishment              SI  trades=1077  dsr=-0.013  pnl=$  54,502
  Repeated_Replenishment              SI  trades=1077  dsr=-0.013  pnl=$ 181,311
  Repeated_Replenishment              SI  trades=1077  dsr=-0.013  pnl=$ 170,624
  CVD_Microprice                      SI  trades=2614  dsr=+0.443  pnl=$  72,414
  CVD_Microprice                      SI  trades=2614  dsr=+0.464  pnl=$ 119,186
  CVD_Microprice                      SI  trades=2614  dsr=-0.011  pnl=$ 336,922
  CVD_Microprice                      SI  trades=2614  dsr=-0.011  pnl=$ 331,662
  CVD_Microprice                      SI  trades=1891  dsr=+0.560  pnl=$  77,564
  CVD_Microprice                      SI  trades=1891  dsr=+0.491  pnl=$ 126,393
  CVD_Microprice                      SI  trades=1891  dsr=-0.012  pnl=$ 299,216
  CVD_Microprice                      SI  trades=1891  dsr=-0.012  pnl=$ 308,398
  CVD_Microprice                      SI  trades=2029  dsr=+0.239  pnl=$  29,986
  CVD_Microprice                      SI  trades=2029  dsr=+0.327  pnl=$  56,668
  CVD_Microprice                      SI  trades=2029  dsr=-0.011  pnl=$ 219,182
  CVD_Microprice                      SI  trades=2029  dsr=-0.011  pnl=$ 215,500
  CVD_Microprice                      SI  trades=1463  dsr=+0.366  pnl=$  40,830
  CVD_Microprice                      SI  trades=1463  dsr=+0.395  pnl=$  65,532
  CVD_Microprice                      SI  trades=1463  dsr=-0.013  pnl=$ 197,382
  CVD_Microprice                      SI  trades=1463  dsr=-0.013  pnl=$ 188,422
  CVD_Microprice                      SI  trades=1340  dsr=-0.665  pnl=$ -63,411
  CVD_Microprice                      SI  trades=1340  dsr=-0.328  pnl=$ -33,882
  CVD_Microprice                      SI  trades=1340  dsr=+0.583  pnl=$  70,215
  CVD_Microprice                      SI  trades=1340  dsr=+0.407  pnl=$ 103,570
