======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  Depth_Imbalance_Momentum            GC  trades=17333  dsr=+0.383  pnl=$ 395,436
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=+0.409  pnl=$ 761,950
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=+0.373  pnl=$ 921,357
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=+0.443  pnl=$ 267,042
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=+0.367  pnl=$ 354,214
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=+0.396  pnl=$ 672,148
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=+0.356  pnl=$ 811,532
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.440  pnl=$-113,053
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.586  pnl=$-110,998
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.653  pnl=$-112,237
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.192  pnl=$ -36,972
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.193  pnl=$ -18,768
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.230  pnl=$ -14,782
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-0.427  pnl=$ -80,725
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-0.571  pnl=$ -76,782
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-0.646  pnl=$ -76,305
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-0.133  pnl=$ -10,236
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=+0.256  pnl=$  11,570
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=+0.351  pnl=$  17,232
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-0.437  pnl=$ -84,190
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-0.540  pnl=$ -76,265
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-0.571  pnl=$ -72,927
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-0.179  pnl=$ -24,046
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=+0.043  pnl=$   2,126
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=+0.280  pnl=$  12,829
  MultiTF_OFI                         GC  trades=35161  dsr=-0.288  pnl=$-111,848
  MultiTF_OFI                         GC  trades=35161  dsr=-0.246  pnl=$ -96,580
  MultiTF_OFI                         GC  trades=35161  dsr=+0.324  pnl=$ 461,798
  MultiTF_OFI                         GC  trades=35161  dsr=+0.395  pnl=$ 561,124
  MultiTF_OFI                         GC  trades=27134  dsr=-0.243  pnl=$ -56,294
  MultiTF_OFI                         GC  trades=27134  dsr=-0.076  pnl=$ -19,054
  MultiTF_OFI                         GC  trades=27134  dsr=+0.526  pnl=$ 410,727
  MultiTF_OFI                         GC  trades=27134  dsr=+0.447  pnl=$ 512,481
  MultiTF_OFI                         GC  trades=33161  dsr=-0.287  pnl=$-109,562
  MultiTF_OFI                         GC  trades=33161  dsr=-0.153  pnl=$ -53,466
